2014-12-12 10:43:18,603 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:43:18,618 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\main\resources
2014-12-12 10:43:18,618 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:43:18,618 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\test\resources
2014-12-12 10:52:16,605 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:52:16,621 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\main\resources
2014-12-12 10:52:16,621 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:52:16,621 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\test\resources
2014-12-12 10:52:30,801 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:52:30,801 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\main\resources
2014-12-12 10:52:30,801 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2014-12-12 10:52:30,817 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory Z:\Semester3\Softwaretechnik\GIT\de.htwg.se.Muehle\Muehle\src\test\resources
